Strategy,Date Range,Timeframe,ORB Build,Net Profit USD,Net Profit %,Gross Profit,Gross Loss,Total Trades,Winning Trades,Losing Trades,Win Rate %,Avg P&L,Avg Winner,Avg Loser,Avg Win/Loss Ratio,Largest Winner,Largest Loser,Max Drawdown,Max Drawdown %,Profit Factor,Sharpe Ratio,Expectancy
V6_ORB_Midpoint_Continuation_CME_MINI_ES1!_2026-03-23,"Apr 01, 2025, 10:00 — Feb 26, 2026, 03:00",15 minutes,08:00 — 08:15,32750.0,65.5,108737.5,75987.5,156.0,61.0,95.0,39.1,209.94,1782.58,799.87,2.229,13350.0,3500.0,8875.0,17.75,1.431,0.462,209.94
V6_ORB_Midpoint_Continuation_CME_MINI_ES1!_2026-03-23 (1),"Apr 01, 2025, 10:00 — Feb 26, 2026, 03:00",15 minutes,08:00 — 08:15,32600.0,65.2,108787.5,76187.5,156.0,61.0,95.0,39.1,208.97,1783.4,801.97,2.224,13350.0,3500.0,9075.0,18.15,1.428,0.46,208.97
ML_R1.3_ORB_Retest_+_Confluence_CME_MINI_MES1!_2026-03-21,"Dec 08, 2025, 09:30 — Mar 20, 2026, 16:55",5 minutes,08:00 — 08:15,546.25,1.09,2470.0,1923.75,74.0,30.0,41.0,40.54,7.38,82.33,46.92,1.755,240.0,92.5,368.75,0.74,1.284,0.334,7.38
ML_R1.2_Adaptive_2nd_Trade_CME_MINI_MES1!_2026-03-23,"May 01, 2025, 09:45 — Mar 20, 2026, 10:00",15 minutes,08:00 — 08:15,-203.75,-0.41,3805.0,4008.75,82.0,36.0,46.0,43.9,-2.48,105.69,87.15,1.213,300.0,321.25,1481.25,2.96,0.949,0.092,-2.48
