result_id,source_commit,symbol,timeframe,date_start,date_end,entry_mode,orb_start,orb_end,trade_start,trade_end,force_flat,stop_method,target_r,max_stop_points,displacement_mode,use_vwap,use_ema,use_range_filter,quantity,commission_type,commission_value_usd_per_contract_per_order,slippage_ticks,mintick_points,slippage_points_per_affected_fill,process_orders_on_close,total_trades,winning_trades,losing_trades,win_rate_pct,net_profit_usd,profit_factor,average_trade_usd,average_winner_usd,average_loser_usd,largest_loser_usd,max_drawdown_usd,max_drawdown_pct,worst_losing_sequence,notes
P7-E01_immediate_breakout_ES1_15m_2025-04-01_2026-02-26,,CME_MINI:ES1!,15,2025-04-01,2026-02-26,Breakout,0800,0815,0930,1030,1100,Opposite,2.0,40,Off,false,false,false,1,cash_per_contract,1.2,2,0.25,0.50,true,,,,,,,,,,,,,,,
P7-E01_boundary_retest_ES1_15m_2025-04-01_2026-02-26,,CME_MINI:ES1!,15,2025-04-01,2026-02-26,Boundary,0800,0815,0930,1030,1100,Opposite,2.0,40,Off,false,false,false,1,cash_per_contract,1.2,2,0.25,0.50,true,,,,,,,,,,,,,,,
P7-E01_midpoint_retest_ES1_15m_2025-04-01_2026-02-26,,CME_MINI:ES1!,15,2025-04-01,2026-02-26,Midpoint,0800,0815,0930,1030,1100,Opposite,2.0,40,Off,false,false,false,1,cash_per_contract,1.2,2,0.25,0.50,true,,,,,,,,,,,,,,,
